%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.velocity7,field.velocity8,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6,field.effort7,field.effort8
1622461912854487346,14404,1622461912853856086,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516928938182,-0.558045075918,0.573170384647,-2.71876016489,0.289518547389,2.32303964323,0.641526006199,0.0,0.0,-0.000505874374688,-9.82169627371e-05,0.000487878394636,-0.000248776121981,0.000122750732881,-1.06409957002e-05,-0.000863461540866,0.0,0.0,-0.185626834631,-7.07625961304,-7.20444536209,21.3518695831,0.661382913589,1.26714468002,-0.179554671049,0.0,0.0
1622461912864292221,14405,1622461912863837957,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516927267639,-0.558044994974,0.573166316173,-2.71876350891,0.289518865327,2.32303964323,0.641525256151,0.0,0.0,0.000487472614496,0.000405403448378,-0.000625467147699,-0.0016315386001,0.000555435614767,-0.000115221297044,-0.000500184751477,0.0,0.0,-0.209430545568,-7.07625961304,-7.15683794022,21.399477005,0.654974222183,1.26714468002,-0.173145979643,0.0,0.0
1622461912874538238,14406,1622461912873934984,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516927267746,-0.558046665408,0.573164129035,-2.71875821889,0.289518628555,2.32303889191,0.641532316125,0.0,0.0,0.000276661320276,-0.000334643958894,-0.00154190261847,0.000846467828446,0.000176746882784,-8.18292464882e-05,0.000927815507533,0.0,0.0,-0.209430545568,-7.0524559021,-7.12906694412,21.324098587,0.661382913589,1.27355337143,-0.227162092924,0.0,0.0
1622461912884408394,14407,1622461912883920907,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516928938182,-0.55804145664,0.573168192892,-2.71875752158,0.289517542895,2.32303964323,0.641527492658,0.0,0.0,-0.00040489830796,0.00158001690193,-0.000588332927195,0.000143133986767,-0.00016255622494,-2.67249046692e-05,-0.000531873692232,0.0,0.0,-0.185626834631,-7.12783432007,-7.15683794022,21.324098587,0.666876077652,1.26714468002,-0.193287581205,0.0,0.0
1622461912894376476,14408,1622461912893889904,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516927267746,-0.558045075918,0.573168184261,-2.71875647222,0.289519336433,2.32304045704,0.641527492652,0.0,0.0,-1.75922041909e-05,-0.000138373500047,-0.000427861062585,0.000595221115985,0.00016714519498,0.000256239982935,-0.000356528554444,0.0,0.0,-0.209430545568,-7.07625961304,-7.15683794022,21.3002948761,0.661382913589,1.25982046127,-0.193287581205,0.0,0.0
1622461912904426206,14409,1622461912903939008,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516928938182,-0.558040941573,0.573167748428,-2.71875447103,0.289518619979,2.32303740528,0.641528306454,0.0,0.0,-0.000576082106674,0.000774802260591,0.000267806384852,0.000845545831297,-2.68836725073e-05,-0.000851908332321,0.000231750394518,0.0,0.0,-0.185626834631,-7.10403060913,-7.18064165115,21.3002948761,0.666876077652,1.28728628159,-0.200611799955,0.0,0.0
1622461912914464989,14410,1622461912913921117,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516927267746,-0.558041456604,0.573171367587,-2.71875813308,0.289517547432,2.32303787152,0.64153054441,0.0,0.0,-7.75725132595e-05,0.00106403703219,0.00173298756543,0.000736131005876,-0.000272059160377,-0.000215631211707,0.000763649863824,0.0,0.0,-0.209430545568,-7.12783432007,-7.23221635818,21.324098587,0.666876077652,1.27355337143,-0.220753401518,0.0,0.0
1622461912924371215,14411,1622461912923885107,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516928938182,-0.558046746243,0.573164839708,-2.71876016769,0.289518733404,2.32304045703,0.641523728818,0.0,0.0,-0.000138815014232,-0.000351598628532,-0.00144281780333,0.000419109223175,-0.000215850861695,0.000287685958546,-0.000975957534566,0.0,0.0,-0.185626834631,-7.0524559021,-7.12906694412,21.3518695831,0.666876077652,1.25982046127,-0.159413069487,0.0,0.0
1622461912934245436,14412,1622461912933836936,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516927267746,-0.558043127077,0.573169445213,-2.71875924577,0.289518507917,2.32303960399,0.64153054441,0.0,0.0,0.000431219661746,0.000578589094298,0.000574574908542,-0.000333423266219,9.75570371425e-05,-6.97819636294e-05,0.000950138854147,0.0,0.0,-0.209430545568,-7.10403060913,-7.20444536209,21.3518695831,0.661382913589,1.26714468002,-0.220753401518,0.0,0.0
1622461912944320798,14413,1622461912943890094,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-0.516928938327,-0.558045075918,0.573167777198,-2.71875885064,0.289518210472,2.32303964323,0.641526780576,0.0,0.0,-0.000156412709396,-0.000764413450802,0.000157385205479,-0.000646918186753,-3.03963082018e-05,3.45469974676e-06,-0.000633824383818,0.0,0.0,-0.185626834631,-7.07625961304,-7.18064165115,21.3756732941,0.661382913589,1.26714468002,-0.186878889799,0.0,0.0
