%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1620391088581058555,5208,1620391088552091802,,0.373762494151,-0.0455418186468,0.0821836146013,0.980500513089,0.0565530031209,-0.187829545086,0.0116505086888
1620391088625200678,5209,1620391088586056725,,0.373763295069,-0.0455389663161,0.0821831538064,0.980500169355,0.0565563894507,-0.187830631189,0.0116454876414
1620391088625244504,5210,1620391088620050557,,0.373763221644,-0.0455410900301,0.0821847525604,0.980500766864,0.05655230353,-0.187828692988,0.0116462837427
1620391088669125541,5211,1620391088654053094,,0.373763819914,-0.0455398921046,0.0821832881063,0.980500749132,0.0565549374595,-0.187827849594,0.0116485881605
1620391088689091449,5212,1620391088688078549,,0.373763519488,-0.0455393343241,0.082184521838,0.980500485364,0.0565542272143,-0.187829599762,0.0116460176651
1620391088733049816,5213,1620391088722062893,,0.37376359615,-0.0455409016155,0.0821843709427,0.980500547718,0.0565567946248,-0.187828378577,0.0116479953491
1620391088777004889,5214,1620391088756115406,,0.373763246474,-0.0455402987077,0.0821840935091,0.980500430976,0.0565539164931,-0.187829874531,0.0116476739247
1620391088825068071,5215,1620391088790078186,,0.373763004282,-0.0455399083203,0.0821834305074,0.980500146478,0.0565581146402,-0.18783025306,0.0116451340684
1620391088868957029,5216,1620391088824087808,,0.373762926163,-0.0455394696284,0.0821838678457,0.980499941724,0.0565594366111,-0.187830884298,0.0116457717344
1620391088869058850,5217,1620391088858057824,,0.373763957061,-0.045541715323,0.0821843597599,0.980500382251,0.0565584247184,-0.187828706283,0.011648724435
1620391088913173286,5218,1620391088892042430,,0.373763382266,-0.0455420690842,0.0821842200325,0.980500564939,0.0565563209706,-0.187828444883,0.0116477763497
1620391088926970141,5219,1620391088926113616,,0.373762843337,-0.0455407747817,0.0821843298394,0.980500497151,0.0565563203159,-0.187828773843,0.0116481811233
1620391088969050645,5220,1620391088960081625,,0.373761848363,-0.0455427354301,0.0821836628904,0.980500068055,0.0565571903621,-0.187830699828,0.011649019349
1620391089013060686,5221,1620391088996218384,,0.373762448378,-0.0455405151099,0.0821836246317,0.980500553729,0.0565550742226,-0.18782903151,0.0116453135419
1620391089057145361,5222,1620391089030049639,,0.37376141735,-0.0455422552628,0.0821838433178,0.980500225894,0.0565574493498,-0.187830035586,0.0116451863062
1620391089101023009,5223,1620391089065091421,,0.373763914421,-0.0455406441038,0.0821840491499,0.980500781302,0.0565583267166,-0.18782687215,0.0116451848089
1620391089101122496,5224,1620391089099035589,,0.373762671799,-0.045541460811,0.0821843483579,0.980500314675,0.0565571345529,-0.187829674076,0.0116450709407
1620391089145189897,5225,1620391089133111137,,0.373761158434,-0.0455401664238,0.0821829339607,0.98049984731,0.0565583044001,-0.187831809091,0.0116443036627
1620391089167914173,5226,1620391089167120144,,0.373764097161,-0.0455415243258,0.0821846013093,0.980500617844,0.0565581562297,-0.187827528164,0.0116491940831
1620391089209072237,5227,1620391089200574670,,0.373763236243,-0.0455397694442,0.082184005149,0.98050000127,0.0565597394027,-0.187830431078,0.0116465975786
1620391089257231788,5228,1620391089234044446,,0.373764431268,-0.0455418086669,0.0821850489309,0.980500571074,0.0565588286211,-0.18782765879,0.0116477598413
1620391089301020170,5229,1620391089268080448,,0.373762301464,-0.0455422923772,0.0821848439469,0.980500542254,0.0565555601899,-0.187829051513,0.0116435968464
1620391089345081481,5230,1620391089302018602,,0.373764400534,-0.0455419687766,0.0821850597806,0.980500705777,0.0565596999914,-0.18782670337,0.0116475960748
1620391089345121881,5231,1620391089336146064,,0.373762761089,-0.0455418322724,0.0821843647612,0.980499885087,0.0565633495515,-0.187829968561,0.0116463052641
1620391089389076408,5232,1620391089370077539,,0.373764288588,-0.0455418128568,0.0821850161915,0.98050041829,0.0565603131264,-0.187828021027,0.0116475712391
1620391089404846626,5233,1620391089404050574,,0.373762656231,-0.0455419686511,0.0821834023101,0.980499813149,0.0565632392107,-0.187830179331,0.0116494978586
1620391089449163138,5234,1620391089438041079,,0.373763815171,-0.045541193826,0.0821843281163,0.980500422838,0.0565611118004,-0.187827764552,0.0116474458739
1620391089493245006,5235,1620391089472059902,,0.373763913881,-0.0455399935193,0.0821843205453,0.980500215927,0.0565610519381,-0.18782892272,0.0116464778241
1620391089537133944,5236,1620391089506058793,,0.373761391723,-0.045541533913,0.0821833787686,0.980499762342,0.0565615775569,-0.187831195679,0.0116454543456
1620391089581265133,5237,1620391089540098817,,0.373762303879,-0.0455396478384,0.0821834031284,0.980499840314,0.0565618139601,-0.187830751484,0.0116449056733
1620391089581333461,5238,1620391089574095871,,0.373765705345,-0.0455393722502,0.0821848508068,0.980500454256,0.056565006638,-0.187826448767,0.0116471050003
1620391089625166998,5239,1620391089608077128,,0.37376329625,-0.0455406360027,0.0821839048512,0.980500099812,0.0565638392492,-0.187828790858,0.0116448428811
1620391089643050888,5240,1620391089642063507,,0.373762817593,-0.0455416884413,0.0821841971363,0.980499797638,0.0565642976729,-0.18783006529,0.0116475025963
1620391089685153502,5241,1620391089676065971,,0.373763353047,-0.0455402682806,0.0821839877103,0.980500121178,0.056563051034,-0.187828837072,0.0116461270814
1620391089729120752,5242,1620391089710058349,,0.373762155367,-0.0455418809153,0.0821842134006,0.980500025243,0.0565630835339,-0.187829475737,0.0116437454227
1620391089773062422,5243,1620391089744219403,,0.373762301072,-0.0455419818495,0.0821835868422,0.980500338459,0.0565626035595,-0.187827944828,0.0116443972204
