%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1620395458589125623,10332,1620395458560778599,,0.311585461181,-0.0438628454583,0.118102562272,0.976072843945,0.0153839979806,-0.215432197967,0.0250856433987
1620395458633046245,10333,1620395458594346007,,0.311585731188,-0.0438621604645,0.118102900383,0.976072889741,0.0153835886776,-0.215432374469,0.0250825965353
1620395458633101246,10334,1620395458628308697,,0.311585643497,-0.0438634299334,0.118103226528,0.976073220659,0.015381688926,-0.21543094122,0.0250831941602
1620395458677161056,10335,1620395458662300345,,0.311585602919,-0.043862667986,0.118102615108,0.976073179183,0.0153834093105,-0.215431164337,0.0250818367986
1620395458697312716,10336,1620395458696330653,,0.311585644584,-0.0438644839429,0.118103566783,0.97607303429,0.0153847516557,-0.215431351734,0.0250850422612
1620395458740952168,10337,1620395458730295721,,0.311586601448,-0.0438625587801,0.118102757432,0.976073337126,0.0153855440433,-0.215430273992,0.0250820282172
1620395458785049107,10338,1620395458764306147,,0.311585921293,-0.0438642922952,0.118102444381,0.976073155632,0.0153855418407,-0.215431303615,0.0250802488994
1620395458829159264,10339,1620395458798337544,,0.311585164054,-0.0438648191472,0.118102663632,0.976073139049,0.0153856925141,-0.215431269155,0.0250810978517
1620395458873071436,10340,1620395458832369418,,0.311587344164,-0.043863183462,0.118103290287,0.976073534319,0.0153859369391,-0.215429465546,0.0250810571303
1620395458873159120,10341,1620395458866300798,,0.311586942084,-0.0438643625016,0.11810377719,0.976073629493,0.0153871192463,-0.215429061018,0.0250801025767
1620395458917040346,10342,1620395458900313621,,0.311583797657,-0.0438652771058,0.118101716109,0.97607237247,0.0153877593729,-0.215434779147,0.0250795136106
1620395458934819795,10343,1620395458934306839,,0.311585827037,-0.0438646852265,0.118103376905,0.976073031131,0.0153887563515,-0.215431669774,0.0250799768773
1620395458976997318,10344,1620395458968272827,,0.311585394078,-0.0438650110003,0.118102980978,0.976073267246,0.015388473648,-0.215430784318,0.0250785669703
1620395459021055903,10345,1620395459002269138,,0.311585078566,-0.0438640678827,0.118102885458,0.976073116839,0.0153882856505,-0.215431630376,0.0250772683496
1620395459065047274,10346,1620395459036267463,,0.311583702664,-0.0438671645464,0.118102728834,0.976073098388,0.0153851080101,-0.215431994785,0.0250768056944
1620395459109000833,10347,1620395459070291010,,0.311585645253,-0.0438651913172,0.118102599737,0.976073556967,0.0153905897428,-0.215429774192,0.0250746691739
1620395459109034480,10348,1620395459104285539,,0.311584063896,-0.0438656832455,0.118103027348,0.9760733434,0.0153860828952,-0.215431119284,0.0250741920456
1620395459152994307,10349,1620395459138252029,,0.311583980297,-0.0438653158894,0.118102438051,0.976072679232,0.015393095143,-0.215433412188,0.0250760422841
1620395459173110886,10350,1620395459172276803,,0.311582237319,-0.0438670075922,0.118102174532,0.976072566103,0.0153880931254,-0.21543429084,0.0250759671314
1620395459216928295,10351,1620395459206263643,,0.311586134352,-0.0438656253463,0.118102460138,0.976073333918,0.0153929463078,-0.215430493394,0.0250757261118
1620395459261078172,10352,1620395459240253449,,0.311583879743,-0.0438664535469,0.118102020505,0.976073170325,0.0153893271727,-0.215431582847,0.0250749556034
1620395459309154872,10353,1620395459274311303,,0.311584395177,-0.043866811424,0.118102318914,0.976072984745,0.0153907441548,-0.215432374958,0.0250745043827
1620395459353123307,10354,1620395459308340576,,0.311585089659,-0.0438673205705,0.118102744666,0.976073373101,0.015393124522,-0.21543041912,0.025074729571
1620395459353174268,10355,1620395459342304655,,0.311582666724,-0.0438673379923,0.118102470905,0.976072900631,0.015389204628,-0.215432898818,0.0250742227585
1620395459397098692,10356,1620395459376503403,,0.311584622222,-0.0438681805291,0.118103254227,0.976073535791,0.0153891018573,-0.215430273995,0.0250721124955
1620395459411011964,10357,1620395459410240820,,0.311583460289,-0.0438665147407,0.118100694656,0.97607309521,0.0153953775364,-0.21543186175,0.0250717690934
1620395459453018171,10358,1620395459444727170,,0.311584277157,-0.0438667898668,0.118102431684,0.976073286067,0.0153955061411,-0.215430944906,0.0250721378874
1620395459501097535,10359,1620395459478304066,,0.31158720412,-0.0438669749864,0.118103003417,0.97607357157,0.0153946955809,-0.215429669218,0.025072482058
1620395459545116588,10360,1620395459512256883,,0.311583350297,-0.0438694102486,0.118102842086,0.976073356518,0.0153941275579,-0.215430883403,0.02507077012
1620395459589089036,10361,1620395459546270023,,0.313087614214,-0.0430714203549,0.117485380791,0.976950022878,0.0144588694125,-0.211679572661,0.0233781534805
1620395459589117593,10362,1620395459580281793,,0.316105345263,-0.0410409898698,0.116183579276,0.978293231671,0.0138595062864,-0.205720572844,0.0206033637039
1620395459633176660,10363,1620395459614239546,,0.319086587994,-0.0386061838118,0.11462215964,0.979286039132,0.013276387423,-0.201217318498,0.0181484889687
1620395459649035877,10364,1620395459648257969,,0.321933571402,-0.0360521903772,0.112848251161,0.980115495246,0.0126243518869,-0.197364940293,0.0160158660143
1620395459693065097,10365,1620395459682261476,,0.324504341516,-0.0336047483266,0.111024269064,0.980768403865,0.0122339534516,-0.194252910272,0.0143059836065
1620395459737069627,10366,1620395459716320836,,0.326740591738,-0.0316350651691,0.10930052003,0.981266544929,0.0118607174073,-0.191827473348,0.0131414479071
1620395459781103828,10367,1620395459752792557,,0.328628114136,-0.0299184214048,0.107557090595,0.981736024113,0.0114749230078,-0.18951583897,0.0119011732429
