%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.velocity7,field.velocity8,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6,field.effort7,field.effort8
1620391088560954568,5774,1620391088560381889,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505673761,-1.09638637167,1.77359715845,-2.44774528811,1.04726613201,1.8555907919,-0.165967029525,0.0,0.0,0.000489263958295,-0.000757646414171,-0.000175371230527,-0.000912633108974,-0.000257419127571,0.000161977430961,-0.000129203198967,0.0,0.0,-0.312579959631,20.7066383362,-23.3552627563,5.79217767715,0.577154397964,1.84301137924,-0.186878889799,0.0,0.0
1620391088594453617,5775,1620391088593699932,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505868677,-1.09638278357,1.77359902888,-2.44774063418,1.04726684409,1.85558405767,-0.165971519964,0.0,0.0,-0.000157914586944,0.000715644480469,0.000923997011451,0.000888122619066,7.84113921736e-05,0.000475616589105,-0.000523762353572,0.0,0.0,-0.284808963537,20.6550636292,-23.4068374634,5.71679925919,0.570745706558,1.86223745346,-0.166737288237,0.0,0.0
1620391088627398486,5776,1620391088626840114,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505868666,-1.09638442378,1.77359326331,-2.44774334712,1.04726804878,1.85558373413,-0.165969281845,0.0,0.0,0.000219082297713,0.000293517859944,-0.000893093488258,-8.60244331462e-05,0.00023397822025,-0.000715782766078,-0.00054932897522,0.0,0.0,-0.284808963537,20.6788673401,-23.3314590454,5.76440668106,0.558843851089,1.86956167221,-0.186878889799,0.0,0.0
1620391088661000434,5777,1620391088660360097,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.7550566614,-1.09638080072,1.77359905842,-2.44774357707,1.04726745444,1.85559384898,-0.165967398236,0.0,0.0,0.000605176487114,0.00111161240486,0.00119982968751,0.000744742312625,-2.30151707636e-05,0.0019923661176,0.000668495029328,0.0,0.0,-0.312579959631,20.6272926331,-23.4068374634,5.74060297012,0.565252542496,1.80272817612,-0.213429182768,0.0,0.0
1620391088694120508,5778,1620391088693594932,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505671242,-1.09638277507,1.7735946947,-2.44774167,1.04726613201,1.85558303675,-0.165968110313,0.0,0.0,0.000282897346012,0.000427328411183,-0.000253022693613,0.00077075064276,-7.13676812093e-05,-0.00107805135966,0.00150095658817,0.0,0.0,-0.312579959631,20.6550636292,-23.3552627563,5.74060297012,0.577154397964,1.88237905502,-0.207020491362,0.0,0.0
1620391088727611479,5779,1620391088726890087,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505671242,-1.09638510876,1.77359493276,-2.4477433393,1.04726745444,1.85558807923,-0.165974824342,0.0,0.0,0.000526451559894,0.000164819939148,-0.000494844470009,-0.000225154271877,0.000147171426208,0.000629703434183,-0.000394900654359,0.0,0.0,-0.312579959631,20.6788673401,-23.3552627563,5.76440668106,0.565252542496,1.82927846909,-0.146595686674,0.0,0.0
1620391088761129287,5780,1620391088760448932,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505672942,-1.0963880736,1.77359516968,-2.44774190575,1.04726816652,1.85558258832,-0.165969295304,0.0,0.0,0.00055000768663,-0.00133382615625,-0.000586955260713,0.00115985963673,0.000406334236037,-0.000581427919456,0.00074800995758,0.0,0.0,-0.312579959631,20.7304420471,-23.3314590454,5.71679925919,0.558843851089,1.87597036362,-0.200611799955,0.0,0.0
1620391088794170072,5781,1620391088793688058,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505866126,-1.09638636887,1.77359707951,-2.44774166885,1.04726931092,1.85558198083,-0.165978842876,0.0,0.0,-6.73191208459e-05,-0.000778540809347,-5.89136585421e-05,0.000585624114275,-0.000269905448286,-0.00055669490548,-0.000192071000841,0.0,0.0,-0.284808963537,20.7066383362,-23.3552627563,5.74060297012,0.577154397964,1.88237905502,-0.15300437808,0.0,0.0
1620391088827462983,5782,1620391088826983928,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505673793,-1.09638510876,1.77359639128,-2.44774173948,1.04726613201,1.85558233016,-0.165978527442,0.0,0.0,0.000499022781841,0.000376237164279,0.000572301332933,0.000673353969296,-0.000325982763334,-0.000921755753612,-0.00155341650549,0.0,0.0,-0.312579959631,20.6788673401,-23.3790664673,5.74060297012,0.577154397964,1.88237905502,-0.15300437808,0.0,0.0
1620391088861060641,5783,1620391088860342979,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.75505868677,-1.09638636885,1.77359550089,-2.44774188165,1.04726617126,1.85558876695,-0.165978183299,0.0,0.0,-0.000555714672168,-0.000990974053152,-2.35498291203e-05,0.000755181154999,-0.000304280535333,-0.000764204517936,-0.000184546150805,0.0,0.0,-0.284808963537,20.7066383362,-23.3552627563,5.74060297012,0.577154397964,1.86223745346,-0.159413069487,0.0,0.0
