%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.velocity7,field.velocity8,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6,field.effort7,field.effort8
1620395053882198905,8473,1620395053881324052,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54497347957,-1.64847286894,1.62957772902,-2.60020702666,1.32684368767,1.311725017,-0.281381180235,0.0,0.0,-0.00135166032949,0.000268973470273,-8.9821027376e-05,-0.000621686170078,-0.000127230788316,-0.000325447155799,0.00111958276004,0.0,0.0,0.123821407557,17.3741188049,-23.6052017212,-2.11462187767,-0.156183034182,1.47405385971,0.226023942232,0.0,0.0
1620395053915356842,8474,1620395053914779901,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54496624101,-1.64847624831,1.62958134547,-2.60020563615,1.32684757866,1.31172452154,-0.28137869353,0.0,0.0,0.00153371167995,-0.000281662524102,0.000566998533363,-6.99483029143e-05,4.21534511672e-05,-0.000333970160839,9.64902766994e-05,0.0,0.0,0.0206719972193,17.401889801,-23.6567764282,-2.13842558861,-0.162591725588,1.48137807846,0.232432633638,0.0,0.0
1620395053948778569,8475,1620395053948137998,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54496791145,-1.64847863396,1.62957605855,-2.60020427272,1.32684439975,1.3117259776,-0.28137807192,0.0,0.0,0.000791441279802,0.000119733712002,-0.000752656838306,-0.000396223703668,5.90253398975e-05,3.40995617053e-06,-0.000233575535725,0.0,0.0,0.0444757081568,17.425693512,-23.5813980103,-2.13842558861,-0.162591725588,1.4676451683,0.239756852388,0.0,0.0
1620395053982038091,8476,1620395053981513023,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54497153072,-1.64847696345,1.62957772902,-2.60020241566,1.32684372692,1.31172063065,-0.281376382063,0.0,0.0,-0.000270844172297,0.000118308433885,0.000488608951102,0.000462945368855,-0.000131060063878,-0.000526129641018,0.000723951773985,0.0,0.0,0.0960504114628,17.401889801,-23.6052017212,-2.1661965847,-0.156183034182,1.48778676987,0.226023942232,0.0,0.0
1620395054015285834,8477,1620395054014703035,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54497153072,-1.64847696356,1.62957749944,-2.60020146559,1.32684297559,1.31172361416,-0.28137709414,0.0,0.0,-0.000231934095336,-1.61600805998e-07,-8.76709891228e-05,0.000809358299245,-0.000327601757669,0.000403496109168,0.000605903076628,0.0,0.0,0.0960504114628,17.401889801,-23.6052017212,-2.1661965847,-0.149774342775,1.4612364769,0.232432633638,0.0,0.0
1620395054048764752,8478,1620395054048131942,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54496791145,-1.64847501471,1.62957770351,-2.60020511626,1.3268450101,1.31172644564,-0.281380145897,0.0,0.0,0.000586668600833,0.000167009124616,-0.00026748352485,-7.25518743568e-05,0.000489613753338,0.000287238033729,5.54383413435e-05,0.0,0.0,0.0444757081568,17.3741188049,-23.6052017212,-2.11462187767,-0.16808488965,1.4612364769,0.259898453951,0.0,0.0
1620395054081882952,8479,1620395054081290960,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54496986029,-1.64848058284,1.62957772052,-2.60020405022,1.32684572218,1.31172561518,-0.281380145897,0.0,0.0,0.000535490769635,-0.000766721134632,-0.000206009702395,0.000138326752629,0.000547965327608,0.000189990005639,-0.000206488395898,0.0,0.0,0.0722467005253,17.4534645081,-23.6052017212,-2.13842558861,-0.174493581057,1.4676451683,0.259898453951,0.0,0.0
1620395054115257523,8480,1620395054114777088,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54497153072,-1.64848058248,1.62957605859,-2.60020405021,1.3268450101,1.31172385094,-0.281381671776,0.0,0.0,-0.000355572609166,-0.00145526093978,-0.000486347059262,0.000411042960232,0.000232101535369,-0.000180297006543,-0.000565811824247,0.0,0.0,0.0960504114628,17.4534645081,-23.5813980103,-2.13842558861,-0.16808488965,1.47405385971,0.273631364107,0.0,0.0
1620395054148787393,8481,1620395054148045063,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54496986029,-1.64847863367,1.62957749944,-2.60020508487,1.3268450101,1.31172457348,-0.281377907942,0.0,0.0,-0.000274463160961,-0.00032888782777,-0.000168023449378,-0.000620597169765,0.000402152222093,-0.000308198694387,-0.000499563690549,0.0,0.0,0.0722467005253,17.425693512,-23.6052017212,-2.11462187767,-0.16808488965,1.48137807846,0.239756852388,0.0,0.0
1620395054182399668,8482,1620395054181766986,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,-1.54496985931,-1.64847501468,1.62958134799,-2.60020509272,1.32684439975,1.31172219415,-0.281371303054,0.0,0.0,1.42108591666e-05,0.000950902435194,0.00114368676321,-0.000394405297376,-0.000104795803988,-0.000121722877084,0.00149043102092,0.0,0.0,0.0722467005253,17.3741188049,-23.6567764282,-2.11462187767,-0.162591725588,1.47405385971,0.218699723482,0.0,0.0
